[16:04:54.064][INFO][CraftTweaker-EarlyInit]: CraftTweaker is running on a Minecraft 1.21.1 development client modded with platform NeoForge
[16:04:54.076][INFO][CraftTweaker-EarlyInit]: Successfully injected RecipeFS file system
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.tooltip.TooltipComponent for native type 'net.minecraft.world.inventory.tooltip.TooltipComponent'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.tooltip.TooltipContext for native type 'net.minecraft.world.item.Item$TooltipContext'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.GameProfile for native type 'com.mojang.authlib.GameProfile'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.RandomSource for native type 'net.minecraft.util.RandomSource'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.AABB for native type 'net.minecraft.world.phys.AABB'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.OctahedralGroup for native type 'com.mojang.math.OctahedralGroup'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Quaternionfc for native type 'org.joml.Quaternionfc'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.FrontAndTop for native type 'net.minecraft.core.FrontAndTop'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.BlockPos for native type 'net.minecraft.core.BlockPos'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Vec3 for native type 'net.minecraft.world.phys.Vec3'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.AxisCycle for native type 'net.minecraft.core.AxisCycle'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Vector3fc for native type 'org.joml.Vector3fc'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Rotation for native type 'net.minecraft.world.level.block.Rotation'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Quaternionf for native type 'org.joml.Quaternionf'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Vec3i for native type 'net.minecraft.core.Vec3i'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Vector3f for native type 'org.joml.Vector3f'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Matrix3f for native type 'org.joml.Matrix3f'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.MutableBlockPos for native type 'net.minecraft.core.BlockPos$MutableBlockPos'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.math.Random for native type 'java.util.Random'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.EntityHitResult for native type 'net.minecraft.world.phys.EntityHitResult'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.ClampedNormalInt for native type 'net.minecraft.util.valueproviders.ClampedNormalInt'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.TrapezoidFloat for native type 'net.minecraft.util.valueproviders.TrapezoidFloat'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.ClampedInt for native type 'net.minecraft.util.valueproviders.ClampedInt'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.ClampedNormalFloat for native type 'net.minecraft.util.valueproviders.ClampedNormalFloat'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.BiasedToBottomInt for native type 'net.minecraft.util.valueproviders.BiasedToBottomInt'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.MultipliedFloats for native type 'net.minecraft.util.valueproviders.MultipliedFloats'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.UniformFloat for native type 'net.minecraft.util.valueproviders.UniformFloat'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.UniformInt for native type 'net.minecraft.util.valueproviders.UniformInt'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.ConstantFloat for native type 'net.minecraft.util.valueproviders.ConstantFloat'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.ConstantInt for native type 'net.minecraft.util.valueproviders.ConstantInt'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.IntProvider for native type 'net.minecraft.util.valueproviders.IntProvider'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.SampledFloat for native type 'net.minecraft.util.valueproviders.SampledFloat'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.valueprovider.FloatProvider for native type 'net.minecraft.util.valueproviders.FloatProvider'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.neoforge.api.tool.TriState for native type 'net.neoforged.neoforge.common.util.TriState'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.Position for native type 'net.minecraft.core.Position'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.HitResultType for native type 'net.minecraft.world.phys.HitResult$Type'
[16:04:54.453][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.GlobalPos for native type 'net.minecraft.core.GlobalPos'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.Pair for native type 'com.mojang.datafixers.util.Pair'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.BlockHitResult for native type 'net.minecraft.world.phys.BlockHitResult'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.StringRepresentable for native type 'net.minecraft.util.StringRepresentable'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.HitResult for native type 'net.minecraft.world.phys.HitResult'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.AxisDirection for native type 'net.minecraft.core.Direction$AxisDirection'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.direction.Axis for native type 'net.minecraft.core.Direction$Axis'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.Direction for native type 'net.minecraft.core.Direction'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.direction.Plane for native type 'net.minecraft.core.Direction$Plane'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.InteractionHand for native type 'net.minecraft.world.InteractionHand'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.util.collection.Collection for native type 'java.util.Collection'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.Equipable for native type 'net.minecraft.world.item.Equipable'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.UseOnContext for native type 'net.minecraft.world.item.context.UseOnContext'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.armortrim.TrimPattern for native type 'net.minecraft.world.item.armortrim.TrimPattern'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.armortrim.ArmorTrim for native type 'net.minecraft.world.item.armortrim.ArmorTrim'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.armortrim.TrimMaterial for native type 'net.minecraft.world.item.armortrim.TrimMaterial'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.alchemy.Potion for native type 'net.minecraft.world.item.alchemy.Potion'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.ItemCooldowns for native type 'net.minecraft.world.item.ItemCooldowns'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.neoforge.api.item.ItemAbility for native type 'net.neoforged.neoforge.common.ItemAbility'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.property.Rarity for native type 'net.minecraft.world.item.Rarity'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.provider.EnchantmentProvider for native type 'net.minecraft.world.item.enchantment.providers.EnchantmentProvider'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.provider.type.EnchantmentsByCost for native type 'net.minecraft.world.item.enchantment.providers.EnchantmentsByCost'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.provider.type.EnchantmentsByCostWithDifficulty for native type 'net.minecraft.world.item.enchantment.providers.EnchantmentsByCostWithDifficulty'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.provider.type.SingleEnchantment for native type 'net.minecraft.world.item.enchantment.providers.SingleEnchantment'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.EnchantmentDefinition for native type 'net.minecraft.world.item.enchantment.Enchantment$EnchantmentDefinition'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.EnchantmentCost for native type 'net.minecraft.world.item.enchantment.Enchantment$Cost'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.enchantment.Enchantment for native type 'net.minecraft.world.item.enchantment.Enchantment'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.ItemDefinition for native type 'net.minecraft.world.item.Item'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.FireworkExplosion for native type 'net.minecraft.world.item.component.FireworkExplosion'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.MapDecorationsEntry for native type 'net.minecraft.world.item.component.MapDecorations$Entry'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.SuspiciousStewEffectsEntry for native type 'net.minecraft.world.item.component.SuspiciousStewEffects$Entry'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ChargedProjectiles for native type 'net.minecraft.world.item.component.ChargedProjectiles'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.WrittenBookContent for native type 'net.minecraft.world.item.component.WrittenBookContent'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.FireworkExplosionShape for native type 'net.minecraft.world.item.component.FireworkExplosion$Shape'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemEnchantments for native type 'net.minecraft.world.item.enchantment.ItemEnchantments'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemLore for native type 'net.minecraft.world.item.component.ItemLore'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.WritableBookContent for native type 'net.minecraft.world.item.component.WritableBookContent'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.Unbreakable for native type 'net.minecraft.world.item.component.Unbreakable'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemEnchantmentsMutable for native type 'net.minecraft.world.item.enchantment.ItemEnchantments$Mutable'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.MapDecorations for native type 'net.minecraft.world.item.component.MapDecorations'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemAttributeModifiers for native type 'net.minecraft.world.item.component.ItemAttributeModifiers'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.MapItemColor for native type 'net.minecraft.world.item.component.MapItemColor'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.Fireworks for native type 'net.minecraft.world.item.component.Fireworks'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.PotDecorations for native type 'net.minecraft.world.level.block.entity.PotDecorations'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.Instrument for native type 'net.minecraft.world.item.Instrument'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.LodestoneTracker for native type 'net.minecraft.world.item.component.LodestoneTracker'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.DyeColor for native type 'net.minecraft.world.item.DyeColor'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.SeededContainerLoot for native type 'net.minecraft.world.item.component.SeededContainerLoot'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.BookContent for native type 'net.minecraft.world.item.component.BookContent'
[16:04:54.454][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.LockCode for native type 'net.minecraft.world.LockCode'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.Tool for native type 'net.minecraft.world.item.component.Tool'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.MapId for native type 'net.minecraft.world.level.saveddata.maps.MapId'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.MapPostProcessing for native type 'net.minecraft.world.item.component.MapPostProcessing'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.BundleContents for native type 'net.minecraft.world.item.component.BundleContents'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.AdventureModePredicate for native type 'net.minecraft.world.item.AdventureModePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.DebugStickState for native type 'net.minecraft.world.item.component.DebugStickState'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.BlockItemStateProperties for native type 'net.minecraft.world.item.component.BlockItemStateProperties'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.PotionContents for native type 'net.minecraft.world.item.alchemy.PotionContents'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.SuspiciousStewEffects for native type 'net.minecraft.world.item.component.SuspiciousStewEffects'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.MutableBundleContents for native type 'net.minecraft.world.item.component.BundleContents$Mutable'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemContainerContents for native type 'net.minecraft.world.item.component.ItemContainerContents'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemAttributeModifiersEntry for native type 'net.minecraft.world.item.component.ItemAttributeModifiers$Entry'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ToolRule for native type 'net.minecraft.world.item.component.Tool$Rule'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ResolvableProfile for native type 'net.minecraft.world.item.component.ResolvableProfile'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.CustomModelData for native type 'net.minecraft.world.item.component.CustomModelData'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.ItemAttributeModifiersBuilder for native type 'net.minecraft.world.item.component.ItemAttributeModifiers$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.CustomData for native type 'net.minecraft.world.item.component.CustomData'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.component.DyedItemColor for native type 'net.minecraft.world.item.component.DyedItemColor'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.ItemStack for native type 'net.minecraft.world.item.ItemStack'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.tiered.TieredItem for native type 'net.minecraft.world.item.TieredItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.tiered.Tiers for native type 'net.minecraft.world.item.Tiers'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.tiered.Tier for native type 'net.minecraft.world.item.Tier'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.sword.SwordItem for native type 'net.minecraft.world.item.SwordItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.armor.ArmorItem.Type for native type 'net.minecraft.world.item.ArmorItem$Type'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.armor.ArmorItem for native type 'net.minecraft.world.item.ArmorItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.armor.ArmorMaterial for native type 'net.minecraft.world.item.ArmorMaterial'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.armor.ArmorMaterials for native type 'net.minecraft.world.item.ArmorMaterials'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.projectileweapon.BowItem for native type 'net.minecraft.world.item.BowItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.projectileweapon.CrossbowItem for native type 'net.minecraft.world.item.CrossbowItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.projectileweapon.ProjectileWeaponItem for native type 'net.minecraft.world.item.ProjectileWeaponItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.item.type.block.BlockItem for native type 'net.minecraft.world.item.BlockItem'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EntityTypePredicate for native type 'net.minecraft.advancements.critereon.EntityTypePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.DataComponentPredicate for native type 'net.minecraft.core.component.DataComponentPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.DamageSourcePredicate for native type 'net.minecraft.advancements.critereon.DamageSourcePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.GameTypePredicate for native type 'net.minecraft.advancements.critereon.GameTypePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EntitySubPredicates for native type 'net.minecraft.advancements.critereon.EntitySubPredicates'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.EntityFlagsPredicateBuilder for native type 'net.minecraft.advancements.critereon.EntityFlagsPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.PlayerPredicateBuilder for native type 'net.minecraft.advancements.critereon.PlayerPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.DataComponentPredicateBuilder for native type 'net.minecraft.core.component.DataComponentPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.BlockPredicateBuilder for native type 'net.minecraft.advancements.critereon.BlockPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.EntityEquipmentPredicateBuilder for native type 'net.minecraft.advancements.critereon.EntityEquipmentPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.FluidPredicateBuilder for native type 'net.minecraft.advancements.critereon.FluidPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.LightPredicateBuilder for native type 'net.minecraft.advancements.critereon.LightPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.DamageSourcePredicateBuilder for native type 'net.minecraft.advancements.critereon.DamageSourcePredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.LocationPredicateBuilder for native type 'net.minecraft.advancements.critereon.LocationPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.StatePropertiesPredicateBuilder for native type 'net.minecraft.advancements.critereon.StatePropertiesPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.EntityPredicateBuilder for native type 'net.minecraft.advancements.critereon.EntityPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.builder.ItemPredicateBuilder for native type 'net.minecraft.advancements.critereon.ItemPredicate$Builder'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.LocationPredicate for native type 'net.minecraft.advancements.critereon.LocationPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.IntMinMaxBoundsPredicate for native type 'net.minecraft.advancements.critereon.MinMaxBounds$Ints'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.DistancePredicate for native type 'net.minecraft.advancements.critereon.DistancePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EntityEquipmentPredicate for native type 'net.minecraft.advancements.critereon.EntityEquipmentPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.BlockPredicate for native type 'net.minecraft.advancements.critereon.BlockPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EntitySubPredicate for native type 'net.minecraft.advancements.critereon.EntitySubPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.StatePropertiesPredicate for native type 'net.minecraft.advancements.critereon.StatePropertiesPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.LightningBoltPredicate for native type 'net.minecraft.advancements.critereon.LightningBoltPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.SlimePredicate for native type 'net.minecraft.advancements.critereon.SlimePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EntityFlagsPredicate for native type 'net.minecraft.advancements.critereon.EntityFlagsPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.ItemPredicate for native type 'net.minecraft.advancements.critereon.ItemPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.FishingHookPredicate for native type 'net.minecraft.advancements.critereon.FishingHookPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.FluidPredicate for native type 'net.minecraft.advancements.critereon.FluidPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.MobEffectPredicate for native type 'net.minecraft.advancements.critereon.MobEffectsPredicate$MobEffectInstancePredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EntityPredicate for native type 'net.minecraft.advancements.critereon.EntityPredicate'
[16:04:54.455][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.predicate.EnchantmentPredicate for native type 'net.minecraft.advancements.critereon.EnchantmentPredicate'
